,Name,Country,Age,Height
317,Yongbang LIU,CHN,-, -
318,Chun Yin KWOK,HKG,-, -
319,Rachmad Gunawan SANTOSO,INA,36, -
320,Rahmad SUSADA,INA,-, -
321,Ng AARON,SGP,-, -
322,Asshidiq HASBI,INA,-, -
323,Hendra Ireng NOGROHO,INA,-, -
324,Laura CROWE-HUTCHON,CAN,-, -
325,Laura CRUMP,AUS,-, -
326,Romy PACKARD HILL,AUS,-, -
327,Emily FRASER,NZL,-, -
328,Kelly BIRCH,USA,-, -
329,Nicole FARRELL,AUS,-, -
330,Sarah Alice DAVIS,AUS,-, -
331,Rowan HINES,NZL,-, -
332,Sophie KING,AUS,-, -
333,Katie PEGG,USA,-, -
334,Kayla ERICKSON,USA,-, -
335,Angelique Jasmin KOCSISEK,AUS,-, -
336,Akane YAMAGATA,JPN,-, -
337,Audrey HSU,USA,-, -
338,Brittany Claire FLETCHER,AUS,-, -
339,Campbell TAYLOR,NZL,-, -
340,Ataif KHAN-EDMUNDSON,NZL,-, -
341,Benjamin AVES,AUS,-, -
342,Benn VAN BALEN,AUS,-, -
343,Andrew NICHOLS,AUS,-, -
344,Alexey FIRSOV,RUS,-, -
345,Samuel SPIRIO-JOHNSTON,USA,-, -
346,Colin BAUER,USA,-, -
347,Scott PRITCHARD,AUS,-, -
348,Michael URQUHART,AUS,-, -
349,Edo PAIJMANS,AUS,-, -
350,Oliver SYKES,NZL,-, -
351,Luc ST ONGE,CAN,-, -
352,Mitchell CUNNINGHAME,AUS,-, -
353,Ricardo TOLEDO,VEN,-, -
354,Eric GIVENS,USA,-, -
355,Alex ALDERSON,USA,-, -
356,Jiten BEAIRSTO,CAN,-, -
357,Cody JONES,USA,-, -
358,Jesús BENÍTEZ LÓPEZ,MEX,-, -
359,Nicholas WAGLAND,AUS,-, -
360,Mitchell BREHENY,AUS,-, -
361,Justin MING,CAN,-, -
362,Mariam IOSELIANI,GEO,32, -
363,Rob HAIGH,GBR,-, -
364,Mirce TRAJCEVSKI,MKD,-, -
365,Beka NAVERIANI,GEO,-, -
366,Melanie MERCIER,CAN,-, -
367,Katerine MARTIN,CAN,-, -
368,Sierra CARROLL,USA,-, -
369,Tanya KARAMAN,CAN,-, -
370,Rebecca SAAG,USA,-, -
371,Lena RAY,USA,-, -
372,Erin BOSTIC,USA,-, -
373,Tris SAMPSON,USA,-, -
374,Hunter SCHUMAKER,USA,-, -
375,Ilana WERNICK,USA,-, -
376,Cydney ARNOLD,CAN,-, -
377,Carly TURNER,CAN,-, -
378,Kristen THOMPSON,CAN,-, -
379,Jennifer LAROUCHE,CAN,-, -
380,Leida BONNER,USA,-, -
381,Sarah GOLDBERGER,USA,-, -
382,Ashleigh HAWES,CAN,-, -
383,Amelia FISCHER-LINNETT,USA,-, -
384,Hannah HILOWITZ,USA,-, -
385,Emma CHILTON,USA,-, -
386,Hannah LE,USA,-, -
387,Samantha NEENO,USA,-, -
388,Emily PATE,USA,-, -
389,Emma FOLCHMAN-WAGNER,USA,-, -
390,Mallory NOE-PAYNE,USA,-, -
391,Sammy BELL,CAN,-, -
392,Bret JOHNSTON,USA,-, -
393,Peter GRILL,USA,-, -
394,Benoit DUBOIS,CAN,-, -
395,Louis RAINVILLE,CAN,-, -
396,Jean-Francois BEAULIEU,CAN,-, -
397,Jonathan AUDY,CAN,-, -
398,Eric SANCHEZ,USA,-, -
399,Danny ALEKSOVSKI,USA,-, -
400,Hayden O'CONNOR,CAN,-, -
401,Dylan WYER,CAN,-, -
402,Jarred PLAMONDON,CAN,-, -
403,Andrew KIM,USA,-, -
404,Carter WISE,USA,-, -
405,Felix BOURASSA-MOREAU,CAN,-, -
406,William ST LAURENT,CAN,-, -
407,Leo ROBINOVITCH,CAN,-, -
408,Jason HENRY,CAN,-, -
409,Tristan CLAUDE,CAN,-, -
410,Jared KESTEVEN,CAN,-, -
411,Anthony D'AMICO,USA,-, -
412,Liam BEAMAN,CAN,-, -
413,Vernon HOFFERD,CAN,-, -
414,Jordan JAMISON,CAN,-, -
415,Artem BIRYUKOV,USA,-, -
416,Charles KELLY,USA,-, -
417,Andrew PLAGENS,USA,-, -
418,Casey Walter MANGAN,USA,-, -
419,Andrew FINK,CAN,-, -
420,Ben BERKMAN,CAN,-, -
421,Augy COHN,USA,-, -
422,Connor MACDONALD,USA,-, -
423,Dalan FAULKNER,USA,-, -
424,Gareth RYAN,CAN,-, -
425,Jacob UNGER,USA,-, -
426,Weston UREDA,USA,-, -
427,Mariia KHRAMALIUK,UKR,-, -
428,Perizat ABDRAKHMAN,KAZ,-, -
429,Marissa STEPHENS,USA,-, -
430,Vera JATCUK,KAZ,-, -
431,Xeniya STRELTSOVA,KAZ,-, -
432,Sabina KHAIBULLINA,KAZ,-, -
433,Margarita IZMAYLOVA,RUS,-, -
434,Emily SEARLE,NZL,-, -
435,Valeriya LOZHNIKOVA,UKR,-, -
436,Kristine MCKAY,CAN,-, -
437,Charlotte MCCONNOCHIE,NZL,-, -
438,Irmak THOMPSON,NZL,-, -
439,Audrey ROANE,CAN,-, -
440,Grace BAKER,USA,-, -
441,Loesje FLETCHER,AUS,-, -
442,Sofia ILIOPOULOU,GRE,-, -
443,Linnea RUSSELL,USA,-, -
444,Yuki HIRAI,JPN,-, -
445,Jennifer T. F. GABELL,BRA,-, -
446,Maria De Campos M MENEZES,BRA,-, -
447,Mariana Gomes AGUILAR,BRA,-, -
448,Zoe JOHNS,AUS,-, -
449,Chelsea MACKAMAN-LOFLAND,USA,-, -
450,Charlotte HILL,USA,-, -
451,Maya SANTANGELO,AUS,-, -
452,Melissa Jane ANDERSEN,AUS,-, -
453,Azamat YESIMKAN,KAZ,-, -
454,Nurbakyt KUANDYKOV,KAZ,-, -
455,Louis SILVE,FRA,-, -
456,Lucas CANO MARTÍNEZ,ESP,-, -
457,David ARJONA MORENO,ESP,-, -
458,Roy Francis BEERS APOSTOLO,ESA,-, -
459,Robert ADAMS,AUS,-, -
460,Daylet ZHAKANOV,KAZ,-, -
461,Ruslan PERMINOV,UKR,-, -
462,David BAIN,USA,-, -
463,Alex ENRIGHT,USA,-, -
464,Juan ESTEVEZ,ECU,-, -
465,Alexandr KIM,KAZ,-, -
466,Jaroslav VYSTAVEL,CZE,-, -
467,Thomas ANGLIM LAGONES,AUS,-, -
468,Josiah JACOBSON-GROCOTT,NZL,-, -
469,Owain FINERON,NZL,-, -
470,Odysseas ANESTIS,GRE,-, -
471,Dexter BATEMAN,CAN,-, -
472,Sayan ISKAKOV,KAZ,-, -
473,Jon Beñat AGIRRE MIGUELEZ,ESP,-, -
474,Aidan BROADBENT,AUS,-, -
475,Jonas LEFFECK,BRA,32, -
476,Magnus Larsen MIKAELSEN,NOR,-, -
477,Andrey SHUNKO,KAZ,-, -
478,Pedro Martins GOMES,BRA,-, -
479,Jürgen Pauli DE CASTRO,BRA,-, -
480,Ievgenii KOZAK,UKR,-, -
481,Hyuki SHINKAWA,JPN,-, -
482,Dylan BARKS,USA,-, -
483,Samuel CORTÉS,MEX,-, -
484,Andreas Pauli DE CASTRO,BRA,-, -
485,Samuel PEYR,AUS,-, -
486,Henrik WEFRING,NOR,-, -
487,Hiram Hafid DEL VALLE,MEX,-, -
488,Takahiro NAKAMURA,JPN,-, -
489,Celso Felipe Gemin FRANZOI,BRA,-, -
490,Victor Guilherme G. GOMES,BRA,-, -
491,Zhaina MYRZAKHANOVA,KAZ,-, -
492,Mei-Ching LIAO,TPE,-, -
493,"Lai-Man, Joanna LAM",HKG,-, -
494,Bin Latiff MUHD HAFIZ,SGP,-, -
495,Navid SOOFIZADEH,IRI,-, -
496,Hamidreza GHANIMATI,IRI,-, -
497,Reza PAKDELMOGHADDAM,IRI,-, -
498,Chung-Hsin HUANG,TPE,-, -
499,Mohd Yusoff MUHD RAMDHAN,SGP,-, -
500,Marion POITEVIN,FRA,-, -
501,Arno VILLENAVE,FRA,-, -
502,Virginie VIDONNE,FRA,-, -
503,Ariane STAUBLI,SUI,-, -
504,Suolangjia CUO,CHN,-, -
505,Eric JAMET,FRA,-, -
506,Bernhard PASCAL,GER,-, -
507,Davide SPINI,ITA,-, -
508,Josef PFNUR,GER,-, -
509,Ola OLSSON,SWE,-, -
510,Rewin VERHEIJ,NED,-, -
511,Bernhard SZABADOS,AUT,-, -
512,Raphael AERTS,BEL,-, -
513,Marc VANLOMMEL,BEL,-, -
514,Frank LEYSSEN,BEL,-, -
515,Vincent LAUFFER,NED,-, -
516,Fabio DE MELO SILVA,BRA,-, -
517,Deyba Medina CHAPONAN,PER,-, -
518,Paulo Henrique ARGES CURSAGE,BRA,-, -
519,Thomas ORIOL,FRA,-, -
520,Mathieu DUPOUY,FRA,-, -
521,Christophe THIBON,FRA,-, -
522,Faith SULLIVAN,USA,-, -
523,Tayla ATKIN,NZL,-, -
524,Camila ROSERO,ECU,-, -
525,Alex JONES,NZL,-, -
526,Ruya GOKCE,TUR,-, -
527,Rose GALLO,CAN,-, -
528,Tania RUGEL,ECU,-, -
529,Elyssa CZAJKOWSKI,USA,-, -
530,Arianne FORBES,CAN,-, -
531,Danielle PLAMONDON,CAN,-, -
532,Liisa OEULLET,CAN,-, -
533,Hoashi NUMATA,JPN,-, -
534,Callie WALTER,USA,-, -
535,Miharu SAOTOME,JPN,-, -
536,Brenda Ligia SCHELBAUER,BRA,-, -
537,Alexandr KARKLINAITIS,KAZ,-, -
538,Petr KLIMA,CZE,-, -
539,Mert Cem ATAK,TUR,-, -
540,Kyle FRANCIS,USA,-, -
541,Mateusz MUCHA,POL,-, -
542,Roman SMIRNOV,KAZ,-, -
543,Matthew TSANG,AUS,-, -
544,Cristian LOPEZ,ECU,-, -
545,Josh EVANS,NZL,-, -
546,Adam STEENS,NZL,-, -
547,Ben HALEY,CAN,-, -
548,Zach LARSON,USA,-, -
549,Pedro CORRAL,ECU,-, -
550,Art HO-BAYLY,AUS,-, -
551,Ivan VUCIC,CRO,-, -
552,Parker SMITH,CAN,-, -
553,Turcinavicius KOSTAS,LTU,-, -
554,Dogukan KISILI,TUR,-, -
555,Aleksander RACZYNSKI,POL,-, -
556,Filipe Fernandes FERREIRA,BRA,-, -
557,Luke JAMIESON,AUS,-, -
558,Igor Ferreira FOSCOLO,BRA,-, -
559,Rafael Takahace RODRIGUES,BRA,-, -
560,Michael HOPKINS,GBR,-, -
561,Louis GODSELL,AUS,-, -
562,Roman SABUROV,KAZ,-, -
563,Arthur Rates DE ALVARENGA,BRA,-, -
564,Dmitrii TALDYKIN,RUS,-, -
565,Bruno Bitarelo MILANI,BRA,-, -
566,Vojtech LICKO,CZE,-, -
567,Gustavo Rodrigues HACHUL,BRA,-, -
568,Mia JOHANSSON,SWE,-, -
569,Edvinas ŠMIGELSKIS,LTU,-, -
570,Iuliia SHIRIAEVA,KGZ,-, -
571,Cao CHUAN,CHN,-, -
572,Sajadeh SOLTANINEJAD,IRI,-, -
573,Aleksandr AKSIONOV,KGZ,-, -
574,Udomsit SUKKHO,THA,-, -
575,Atthk TEJAKUNBUNDIT,THA,-, -
576,Yoann ARPIN,CAN,-, -
577,Ingrid GAUSTER,AUT,-, -
578,Christodoula EVAGOROU,CYP,-, -
579,Skevi TOFARIDOU,CYP,-, -
580,Kostantina NIKOLAOU,CYP,-, -
581,Emmeleia HADJIGEORGIOU,CYP,-, -
582,Maria PEPPELI,CYP,-, -
583,Robert STREICHER,CYP,-, -
584,Theodoros STOKKOS,CYP,-, -
585,Peter TURCER,CYP,-, -
586,Nicos PAFITIS,CYP,-, -
587,Clara MEUSBURGER,AUT,-, -
588,Lena WORSCH,AUT,-, -
589,Annick GEBERT,SUI,-, -
590,Ladina OECHSLIN,SUI,-, -
591,Fabienne SAXER,SUI,-, -
592,Rahel STEINER,SUI,-, -
593,Olivia VETSCH,SUI,-, -
594,Nicolas BONMASSAR,AUT,-, -
595,Michael KAPPAURER,AUT,-, -
596,Felix KASPER,AUT,-, -
597,Sebastian SCHWEIZER,SUI,-, -
598,Kevin HOLDENER,SUI,-, -
599,Ramun BÄR,SUI,-, -
600,Nico EBERLE,SUI,-, -
601,Sebastian ROHDE,AUT,-, -
602,Dominik HEMMI,SUI,-, -
603,Fabio LAZZAROTTO,SUI,-, -
604,Philipp MERKL,SUI,-, -
605,Jodok PETERER,SUI,-, -
606,Florian BÖSCH,AUT,-, -
607,Paul KERSCHBAUMER,AUT,-, -
608,Jan HERMLE,SUI,-, -
609,Jan CADOSCH,SUI,-, -
610,Carolin EGGER,GER,-, -
611,Sonja LANDOLT,SUI,-, -
612,Janina MÜLLER,GER,-, -
613,Verena STRIEDER,AUT,-, -
614,Hanna KEMPF,AUT,-, -
615,Elena JENNY,AUT,-, -
616,Selina KOPATZ,SUI,-, -
617,Anja GMEINER,AUT,-, -
618,Ladina REUTIMANN,SUI,-, -
619,Samuel EBERLE,SUI,-, -
620,Martin RITTER,AUT,-, -
621,Dominik METZLER,AUT,-, -
622,Franz Josef KÖSS,AUT,-, -
623,Janosch TILLICH,SUI,-, -
624,Johannes KRONTHALER,SUI,-, -
625,Fabio HAGER,SUI,-, -
626,Gregor WEISOFNER,AUT,-, -
627,Maudila TANNIA,INA,-, -
628,Zhanna MOLCHANOVA,KAZ,-, -
629,Araylim BEKENOVA,KAZ,-, -
630,Bin Bin ZHANG,SGP,-, -
631,Namita Tukaram SAWANT,IND,-, -
632,Charita VENKATESH,IND,-, -
633,Vera BOGOLIUBOVA,KGZ,-, -
634,Alina NOKHRINA,KAZ,-, -
635,"Tsz Ching, Ophelia MOK",HKG,-, -
636,Anastasiia SHEVTSOVA,KGZ,-, -
637,Li Ling LEE,SGP,-, -
638,Ke LI,CHN,-, -
639,Parnia ROUHOLFADA,IRI,-, -
640,Wei Lin KOH,SGP,-, -
641,Felicia TEO XIN YUN,SGP,-, -
642,Zaidey SITI NURHAZLIN,SGP,-, -
643,Chih-Yun LAI,TPE,-, -
644,Smera JAYADEVA,IND,-, -
645,Raushan KENZHEAKHMETOVA,KAZ,-, -
646,Samira AFZALI KAKH,IRI,-, -
647,Setya SAPTARINA,INA,-, -
648,Yidi LIU,CHN,-, -
649,Emiri TAKESHITA,JPN,-, -
650,Shi Hui TAN,SGP,-, -
651,Yerassyl MURAT,KAZ,-, -
652,Vladimir ARKHIPOV,KAZ,-, -
653,Khairul MUHD,SGP,-, -
654,Muhindro Singh LAMABAM,IND,-, -
655,Islami YUSUF,INA,-, -
656,Bing Han KWEK,SGP,-, -
657,Chin Siang ANG,SGP,-, -
